,TotalSteps,Calories
407,3672,1792
408,10378,2345
409,9487,2260
410,9129,2232
411,17,257
412,10122,2955
413,10993,3092
414,8863,2998
415,8758,3066
416,6580,3073
417,4660,2572
418,11009,3274
419,10181,3015
420,10553,3083
421,10055,3069
422,12139,3544
423,13236,3306
424,10243,2885
425,12961,3288
426,9461,2929
427,11193,3074
428,10074,2969
429,9232,2979
430,12533,3283
431,10255,2926
432,10096,3147
433,12727,3290
434,12375,3162
435,9603,2899
436,13175,3425
437,22770,4022
438,17298,3934
439,10218,3013
440,10299,3061
441,10201,2954
442,3369,1623
443,3276,2113
444,2961,2095
445,3974,2194
446,7198,2496
447,3945,2180
448,2268,1933
449,6155,2248
450,2064,1954
451,2072,1974
452,3809,2150
453,6831,2432
454,4363,2149
455,5002,2247
456,3385,2070
457,6326,2291
458,7243,2361
459,4493,2203
460,4676,2196
461,6222,2363
462,5232,2246
463,6910,2336
464,7502,2421
465,2923,2070
466,3800,2120
467,4514,2211
468,5183,2123
469,7303,2423
470,5275,2281
471,3915,2181
472,9105,2499
473,768,1212
474,5135,1909
475,4978,1722
476,6799,1922
477,7795,2121
478,7289,1997
479,9634,2117
480,8940,2116
481,5401,1876
482,4803,1788
483,13743,2486
484,9601,2094
485,6890,2085
486,8563,2173
487,8095,2225
488,9148,2223
489,9557,2098
490,9451,2185
491,7833,1918
492,10319,2105
493,3428,1692
494,7891,2066
495,5267,1953
496,5232,1842
497,10611,2262
498,3755,1722
499,8237,1973
500,6543,2666
501,11451,2223
502,6435,1889
503,9108,2131
504,6307,1452
505,7213,2947
506,6877,2898
507,7860,2984
508,6506,2896
509,11140,3328
510,12692,3394
511,9105,3013
512,6708,2812
513,8793,3061
514,6530,2729
515,1664,2241
516,15126,3691
517,15050,3538
518,9167,3064
519,6108,2784
520,7047,2908
521,9023,3033
522,9930,3165
523,10144,3115
524,0,2017
525,7245,2859
526,9454,3145
527,8161,3004
528,8614,3006
529,6943,2859
530,14370,3683
531,12857,3287
532,8232,2990
533,10613,3172
534,9810,3069
535,2752,1240
536,11596,2026
537,4832,1718
538,17022,2324
539,16556,2254
540,5771,1831
541,655,1397
542,3727,1683
543,15482,2284
544,2713,1570
545,12346,2066
546,11682,2105
547,4112,1776
548,1807,1507
549,10946,2033
550,11886,2093
551,10538,1922
552,11393,1999
553,12764,2169
554,1202,1463
555,5164,1747
556,9769,1996
557,12848,2116
558,4249,1698
559,14331,2156
560,9632,1916
561,1868,1494
562,6083,1762
563,11611,2272
564,16358,2335
565,4926,1693
566,3121,741
567,8135,3405
568,5077,2551
569,8596,4022
570,12087,4005
571,14269,4274
572,12231,4552
573,9893,3625
574,12574,3501
575,8330,3192
576,10830,4018
577,9172,3329
578,7638,3152
579,15764,4392
580,6393,3374
581,5325,3088
582,6805,3294
583,9841,3580
584,7924,3544
585,12363,4501
586,13368,4546
587,7439,3014
588,11045,3795
589,5206,2755
590,7550,3004
591,4950,2643
592,0,1819
593,0,1819
594,3421,2489
595,8869,3841
596,4038,1665
597,0,1496
598,0,1496
599,0,1496
600,14019,2865
601,14450,2828
602,7150,2225
603,5153,2018
604,11135,2606
605,10449,2536
606,19542,4900
607,8206,2409
608,11495,2651
609,7623,2305
610,0,1497
611,9543,2450
612,9411,2576
613,3403,1879
614,9592,2560
615,6987,2275
616,8915,2361
617,4933,2044
618,0,1496
619,2997,1902
620,9799,2636
621,3365,1838
622,7336,2469
623,7328,2250
624,4477,1248
625,4562,2560
626,7142,2905
627,7671,2952
628,9501,2896
629,8301,2783
630,7851,3171
631,6885,2766
632,7142,2839
633,6361,2701
634,0,2060
635,6238,2796
636,0,2664
637,5896,2703
638,7802,2771
639,0,2060
640,5565,2743
641,5731,2687
642,0,2060
643,6744,2843
644,9837,3327
645,6781,2725
646,6047,2671
647,5832,2718
648,6339,2682
649,6116,2806
650,5510,2613
651,7706,2712
652,6277,2175
654,0,1841
655,4053,2400
656,5162,2507
657,1282,2127
658,4732,2225
659,2497,2067
660,8294,2798
661,0,1841
662,10771,3727
663,0,1841
664,637,1922
