DayOfWeek,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
Monday,2016-04-27 23:24:00.000000,7780.866666666667,5.552916660221915,5.528749988786876,0.22455211281776424,1.5373333419983584,0.5858333324082194,3.3630833325907594,0.0025833333221574606,23.108333333333334,14.0,192.05833333333334,1027.9416666666666,2324.2083333333335
Tuesday,2016-04-25 02:51:39.337748,8178.814569536424,5.870860892872245,5.851324470294331,0.17017359686213623,1.6239735132811088,0.5969536418206249,3.4940397293979166,0.0014569536221540483,23.105960264900663,14.43046357615894,198.64900662251657,1004.4966887417219,2371.615894039735
Wednesday,2016-04-26 00:28:48.000000,7559.373333333333,5.488333327832321,5.467599996787806,0.13958796024322506,1.6334666670113795,0.5270666662231087,3.256333340468506,0.0013333333035310067,20.78,13.1,189.85333333333332,989.48,2302.62
Thursday,2016-04-26 12:04:57.931034,7507.986206896552,5.385517267279069,5.360344852828259,0.13106608555234717,1.409655179956864,0.512137929478596,3.328413790824085,0.0023448275594875724,19.675862068965518,12.124137931034483,187.97931034482758,955.4,2229.9103448275864
Friday,2016-04-25 04:00:00.000000,7448.230158730159,5.309920621326283,5.302936493433894,0.07218603482322088,1.3129365018731538,0.48380952288529694,3.4891269680349133,0.0018253967993789198,20.055555555555557,12.11111111111111,204.1984126984127,1000.3095238095239,2331.785714285714
Saturday,2016-04-26 04:29:16.097561,8219.260162601626,5.902276426144853,5.902276426144853,0.0,1.526910549378007,0.6828455238080605,3.646585364455009,0.001056910545481892,22.097560975609756,15.325203252032521,208.82926829268294,960.4146341463414,2374.1138211382113
Sunday,2016-04-27 00:11:54.049586,6933.231404958678,5.027190073693465,5.027190073693465,0.0,1.4889256234688693,0.6180165245020683,2.8923140668025447,0.0006611570100153769,19.983471074380166,14.52892561983471,173.97520661157026,990.2561983471074,2263.0
